Entity,Code,Year,Population
Afghanistan,AFG,1901,5053439
Afghanistan,AFG,1902,5085403
Afghanistan,AFG,1903,5118005
Afghanistan,AFG,1904,5150814
Afghanistan,AFG,1905,5183829
Afghanistan,AFG,1906,5217053
Afghanistan,AFG,1907,5249854
Afghanistan,AFG,1908,5283495
Afghanistan,AFG,1909,5317347
Afghanistan,AFG,1910,5351413
Afghanistan,AFG,1911,5385509
Afghanistan,AFG,1912,5420004
Afghanistan,AFG,1913,5459010
Afghanistan,AFG,1914,5502589
Afghanistan,AFG,1915,5550805
Afghanistan,AFG,1916,5599440
Afghanistan,AFG,1917,5648497
Afghanistan,AFG,1918,5704092
Afghanistan,AFG,1919,5758692
Afghanistan,AFG,1920,5813814
Afghanistan,AFG,1921,5869464
Afghanistan,AFG,1922,5925647
Afghanistan,AFG,1923,5982368
Afghanistan,AFG,1924,6039631
Afghanistan,AFG,1925,6097443
Afghanistan,AFG,1926,6155808
Afghanistan,AFG,1927,6214731
Afghanistan,AFG,1928,6274219
Afghanistan,AFG,1929,6334276
Afghanistan,AFG,1930,6394908
Afghanistan,AFG,1931,6456120
Afghanistan,AFG,1932,6517918
Afghanistan,AFG,1933,6580308
Afghanistan,AFG,1934,6643295
Afghanistan,AFG,1935,6706885
Afghanistan,AFG,1936,6771083
Afghanistan,AFG,1937,6835896
Afghanistan,AFG,1938,6901330
Afghanistan,AFG,1939,6967389
Afghanistan,AFG,1940,7034081
Afghanistan,AFG,1941,7101412
Afghanistan,AFG,1942,7169387
Afghanistan,AFG,1943,7238012
Afghanistan,AFG,1944,7307295
Afghanistan,AFG,1945,7377241
Afghanistan,AFG,1946,7447856
Afghanistan,AFG,1947,7519147
Afghanistan,AFG,1948,7591120
Afghanistan,AFG,1949,7663783
Afghanistan,AFG,1950,7752000
Afghanistan,AFG,1951,7840000
Afghanistan,AFG,1952,7936000
Afghanistan,AFG,1953,8040000
Afghanistan,AFG,1954,8151000
Afghanistan,AFG,1955,8271000
Afghanistan,AFG,1956,8399000
Afghanistan,AFG,1957,8535000
Afghanistan,AFG,1958,8680000
Afghanistan,AFG,1959,8834000
Afghanistan,AFG,1960,8997000
Afghanistan,AFG,1961,9169000
Afghanistan,AFG,1962,9351000
Afghanistan,AFG,1963,9543000
Afghanistan,AFG,1964,9745000
Afghanistan,AFG,1965,9956000
Afghanistan,AFG,1966,10175000
Afghanistan,AFG,1967,10400000
Afghanistan,AFG,1968,10637000
Afghanistan,AFG,1969,10894000
Afghanistan,AFG,1970,11174000
Afghanistan,AFG,1971,11475000
Afghanistan,AFG,1972,11791000
Afghanistan,AFG,1973,12109000
Afghanistan,AFG,1974,12413000
Afghanistan,AFG,1975,12689000
Afghanistan,AFG,1976,12943000
Afghanistan,AFG,1977,13171000
Afghanistan,AFG,1978,13341000
Afghanistan,AFG,1979,13411000
Afghanistan,AFG,1980,13357000
Afghanistan,AFG,1981,13172000
Afghanistan,AFG,1982,12883000
Afghanistan,AFG,1983,12538000
Afghanistan,AFG,1984,12204000
Afghanistan,AFG,1985,11938000
Afghanistan,AFG,1986,11736000
Afghanistan,AFG,1987,11605000
Afghanistan,AFG,1988,11618000
Afghanistan,AFG,1989,11869000
Afghanistan,AFG,1990,12412000
Afghanistan,AFG,1991,13299000
Afghanistan,AFG,1992,14486000
Afghanistan,AFG,1993,15817000
Afghanistan,AFG,1994,17076000
Afghanistan,AFG,1995,18111000
Afghanistan,AFG,1996,18853000
Afghanistan,AFG,1997,19357000
Afghanistan,AFG,1998,19738000
Afghanistan,AFG,1999,20171000
Afghanistan,AFG,2000,20780000
Afghanistan,AFG,2001,21607000
Afghanistan,AFG,2002,22601000
Afghanistan,AFG,2003,23681000
Afghanistan,AFG,2004,24727000
Afghanistan,AFG,2005,25654000
Afghanistan,AFG,2006,26433000
Afghanistan,AFG,2007,27101000
